EmployeeID,Age,Gender,JobRole,YearsAtCompany,Salary,JobSatisfaction,PerformanceScore,WorkLifeBalance,Left
172,27,Male,Compliance Analysts,17,118228,5,4,2,No
173,53,Male,Software Engineer,8,64173,4,4,4,No
174,25,Female,Network Engineer,8,111899,3,1,4,No
175,32,Male,HR Specialist,17,84377,5,1,5,No
176,38,Female,Project Manager,23,73274,5,5,4,No
177,59,Male,Quality Assurance Engineer,21,100732,3,3,1,No
178,45,Male,UX/UI Designer,13,30448,5,3,1,No
179,26,Male,Financial Analyst,13,52352,2,3,3,No
180,55,Female,HR Specialist,26,119606,4,5,4,No
181,27,Male,Operations Manager,8,107607,2,1,5,No
182,43,Male,Business Intelligence Analyst,15,53118,2,2,5,No
183,32,Male,Network Engineer,3,63085,2,1,3,No
184,37,Female,Product Manager,15,53463,2,2,1,No
185,54,Male,Network Engineer,23,47356,1,3,5,No
186,30,Female,Data Engineer,10,35607,5,3,4,No
187,27,Male,Marketing Analyst,1,88167,5,5,5,No
188,37,Male,Compliance Analysts,11,57165,5,2,3,No
189,50,Male,Customer Support Specialist,7,111083,1,2,2,No
190,24,Male,Network Engineer,26,60039,4,3,2,No
191,41,Female,Sales Manager,11,109169,3,3,1,No
192,57,Male,Product Manager,15,81643,2,3,2,No
193,40,Male,Product Manager,2,35483,1,3,3,No
194,47,Male,Financial Analyst,1,85427,4,5,5,No
195,24,Male,Accountant ,6,95424,1,4,2,No
196,40,Female,Project Manager,22,38783,3,4,5,No
197,41,Female,Network Engineer,19,63184,2,5,5,No
198,53,Male,Project Manager,4,54800,1,4,1,No
199,28,Male,Sales Manager,11,77522,2,3,4,No
200,54,Male,Compliance Analysts,26,41053,3,5,3,No
201,39,Female,Customer Support Specialist,20,101131,4,1,1,No
202,22,Female,Accountant ,22,113439,5,3,3,No
203,32,Female,Network Engineer,1,86518,1,1,4,No
204,49,Male,HR Specialist,18,102214,5,3,5,No
205,46,Male,Sales Manager,25,81142,3,4,1,No
206,44,Male,Accountant ,25,60759,1,5,4,No
207,52,Male,Network Engineer,3,95636,2,4,1,No
208,51,Male,Quality Assurance Engineer,14,78832,2,4,2,No
209,56,Male,Business Analyst,14,35962,1,1,3,No
210,28,Male,Sales Manager,20,41937,2,3,5,No
211,37,Male,Data Scientist,5,89334,4,2,3,No
212,47,Male,Business Analyst,1,68958,3,5,5,No
213,23,Male,Accountant ,4,116279,2,2,3,Yes
214,22,Female,Software Developer,4,118972,1,2,4,No
215,33,Male,Data Engineer,13,51387,1,4,2,No
216,26,Female,Software Developer,5,56147,4,4,2,No
217,58,Male,HR Specialist,10,52001,4,5,1,No
218,53,Female,Network Engineer,25,48297,1,3,1,No
219,30,Male,Customer Support Specialist,15,93017,1,5,5,No
220,56,Male,Customer Support Specialist,6,109356,2,3,3,No
221,40,Male,Business Analyst,5,45002,1,3,3,No
222,37,Female,Business Intelligence Analyst,29,74877,1,1,1,No
223,24,Male,HR Specialist,6,49641,4,2,4,No
224,41,Male,Project Manager,23,41608,3,1,2,No
225,45,Female,Marketing Analyst,22,85736,4,1,5,No
226,54,Male,UX/UI Designer,19,35758,4,1,4,No
227,45,Male,Financial Analyst,24,51038,4,4,1,No
228,32,Female,Network Engineer,9,68755,5,2,4,No
229,29,Female,Financial Analyst,23,38192,2,4,2,No
230,57,Male,Sales Manager,26,93368,3,3,5,No
231,59,Female,Quality Assurance Engineer,23,112072,5,5,3,No
232,41,Male,Project Manager,16,90191,5,5,1,No
233,56,Male,Software Engineer,28,47243,2,1,1,No
234,46,Female,Financial Analyst,1,67094,3,3,4,No
235,56,Male,Product Manager,8,113080,1,3,2,No
236,46,Male,Software Engineer,5,37756,1,5,2,No
237,50,Female,Network Engineer,25,63432,1,3,1,No
238,39,Male,UX/UI Designer,3,90328,2,4,2,No
239,39,Male,Business Intelligence Analyst,13,43019,5,2,4,No
240,23,Male,Data Scientist,28,65686,3,2,1,No
241,56,Male,Project Manager,2,43638,1,5,2,No
242,37,Male,Quality Assurance Engineer,27,90065,4,4,5,No
243,57,Male,Product Manager,3,74662,2,1,1,No
244,54,Female,Data Scientist,27,41231,1,4,5,No
245,25,Female,Software Engineer,2,57846,4,1,5,No
246,54,Male,Product Manager,21,95639,4,2,5,No
247,35,Male,Data Engineer,3,52137,2,1,2,No
248,42,Male,Project Manager,8,75977,4,2,2,No
249,41,Male,Product Manager,3,80357,1,2,5,No
250,29,Male,Project Manager,10,94727,2,4,1,No
251,28,Male,Operations Manager,25,52046,4,2,4,No
252,24,Male,Network Engineer,23,92007,4,5,4,No
253,38,Male,Accountant ,2,119723,4,3,3,No
254,54,Female,Financial Analyst,6,89245,2,5,4,No
255,33,Male,Financial Analyst,14,62099,4,2,3,No
256,43,Male,Data Engineer,7,113973,1,3,1,No
257,43,Male,Network Engineer,23,118287,1,2,5,No
258,51,Male,UX/UI Designer,4,56261,5,3,5,No
259,59,Male,Operations Manager,12,49798,3,4,1,No
260,59,Male,Sales Manager,22,45003,5,5,4,No
261,29,Male,Project Manager,29,95841,2,2,4,No
262,48,Female,Quality Assurance Engineer,7,110282,5,1,2,Yes
263,48,Female,HR Specialist,6,93760,2,4,3,No
264,55,Male,Project Manager,28,78198,5,2,1,No
265,42,Male,Software Engineer,19,57617,3,2,2,No
266,51,Male,Business Intelligence Analyst,8,101705,2,4,4,No
267,54,Male,Data Engineer,6,79133,1,4,5,No
268,49,Male,Accountant ,26,66086,3,1,4,No
269,54,Male,UX/UI Designer,28,88715,1,4,5,No
270,26,Male,Accountant ,27,62795,5,5,2,No
271,40,Male,UX/UI Designer,21,60758,5,5,1,No
272,25,Male,Business Analyst,18,66142,1,5,2,No
273,56,Male,HR Specialist,18,95005,4,1,4,No
274,38,Female,Software Developer,17,76321,4,3,2,No
275,49,Female,Business Intelligence Analyst,21,60711,3,4,2,No
276,51,Male,Data Engineer,16,57343,5,1,5,No
277,50,Male,Product Manager,14,90980,3,5,5,No
278,27,Male,HR Specialist,20,38314,1,4,3,No
279,56,Male,Business Analyst,5,38727,4,2,2,No
280,58,Male,Compliance Analysts,22,92103,5,5,5,No
281,45,Male,Data Scientist,4,113219,3,3,1,Yes
282,50,Male,Financial Analyst,11,43458,1,1,4,No
283,52,Male,Quality Assurance Engineer,26,96569,2,2,5,Yes
284,56,Female,Business Analyst,29,119306,1,5,5,No
285,54,Male,Operations Manager,22,106856,3,1,4,Yes
286,42,Male,Product Manager,27,36095,2,3,2,No
287,53,Male,Data Engineer,19,119764,4,2,4,No
288,44,Male,Software Engineer,27,52630,2,3,5,No
289,54,Male,Compliance Analysts,5,52933,1,4,5,No
290,24,Female,Financial Analyst,14,67457,2,2,5,No
291,39,Female,Business Analyst,5,108496,4,3,1,No
292,46,Male,HR Specialist,15,87706,5,2,1,No
293,52,Male,Accountant ,13,51662,3,2,3,No
294,24,Male,Financial Analyst,29,101772,3,4,1,No
295,45,Female,Customer Support Specialist,13,45523,2,1,4,No
296,53,Female,Data Engineer,2,47226,2,2,2,Yes
297,43,Male,Compliance Analysts,7,35182,4,5,3,No
298,44,Female,Sales Manager,1,80363,5,4,3,No
299,23,Male,Marketing Analyst,21,96969,2,2,2,No
300,48,Male,Business Intelligence Analyst,10,61966,3,2,4,No
301,23,Male,Business Analyst,20,89270,1,1,5,No
302,47,Male,Marketing Analyst,20,97016,1,3,2,No
303,38,Female,Data Engineer,2,70979,5,1,4,No
304,54,Male,Customer Support Specialist,2,83810,3,3,4,No
305,30,Female,Business Intelligence Analyst,6,67959,4,4,2,No
306,50,Female,HR Specialist,12,101335,3,3,5,No
307,47,Female,Accountant ,28,32923,2,3,2,No
308,56,Male,Software Engineer,21,70842,4,1,1,Yes
309,46,Female,Software Developer,6,80840,5,2,5,Yes
310,45,Male,Software Engineer,7,71538,3,1,5,No
311,34,Female,Software Developer,23,109955,3,4,4,No
312,28,Male,Business Intelligence Analyst,17,89921,3,4,3,No
313,57,Male,Data Engineer,9,37401,3,1,3,No
314,41,Female,Data Scientist,8,93620,3,2,2,No
315,22,Female,Compliance Analysts,27,62411,3,2,3,No
316,29,Female,Financial Analyst,8,61180,3,3,3,No
317,37,Male,HR Specialist,20,114359,4,1,2,No
318,35,Male,Compliance Analysts,17,111672,5,5,3,No
319,33,Male,Data Engineer,22,91351,4,1,2,No
320,44,Male,Quality Assurance Engineer,23,100690,2,1,4,Yes
321,36,Male,Operations Manager,25,64986,5,5,4,No
322,49,Male,Quality Assurance Engineer,13,82830,1,3,4,Yes
323,55,Female,Compliance Analysts,29,58361,3,1,4,No
324,23,Female,Business Analyst,18,49685,5,2,2,No
325,53,Male,Business Intelligence Analyst,14,108172,4,2,3,No
326,44,Male,Marketing Analyst,21,75061,5,4,1,No
327,43,Male,Sales Manager,4,67619,5,2,5,No
328,46,Male,Customer Support Specialist,16,82706,2,5,3,No
329,43,Female,Software Developer,5,55423,2,5,1,No
330,43,Male,Customer Support Specialist,10,31395,5,3,2,No
331,27,Male,Marketing Analyst,21,50583,1,4,3,No
332,36,Male,Sales Manager,20,86135,5,4,4,No
333,58,Female,Software Engineer,15,84470,4,1,5,No
334,54,Female,Business Intelligence Analyst,15,89721,3,5,2,No
335,29,Female,Accountant ,21,83861,4,3,4,No
336,26,Male,Business Analyst,29,86897,5,5,2,No
337,25,Male,Accountant ,19,50934,1,1,3,No
338,27,Male,Data Scientist,29,40454,4,1,5,No
339,53,Male,Operations Manager,6,90696,1,4,4,Yes
340,51,Male,Accountant ,23,49791,2,1,4,No
341,56,Female,Software Developer,27,44617,3,3,3,No
342,37,Male,Data Scientist,12,39601,2,2,1,No
343,34,Male,Network Engineer,10,84952,3,1,2,No
344,51,Female,Marketing Analyst,26,35746,5,2,4,No
345,40,Male,Customer Support Specialist,25,54383,2,2,2,No
346,38,Male,Network Engineer,27,71268,1,3,3,No
347,40,Male,Sales Manager,14,81949,2,5,2,Yes
348,49,Female,Product Manager,23,93539,5,4,4,No
349,47,Male,Customer Support Specialist,24,94422,5,2,1,No
350,58,Male,Network Engineer,17,108416,4,5,1,No
351,47,Female,Accountant ,22,84393,4,5,3,Yes
352,44,Male,Sales Manager,27,102094,4,3,5,No
353,30,Female,Marketing Analyst,7,107319,5,5,3,No
354,33,Male,Operations Manager,15,73073,2,1,3,No
355,22,Male,Business Analyst,28,103373,1,2,1,No
356,22,Male,Sales Manager,21,44174,3,3,1,No
357,55,Male,Software Developer,11,70117,3,4,4,No
358,53,Male,Quality Assurance Engineer,11,103312,5,3,1,No
359,46,Male,Data Scientist,3,76145,3,4,3,No
360,22,Male,Network Engineer,1,78044,2,4,4,No
361,37,Male,Sales Manager,26,52200,5,3,3,No
362,26,Male,Compliance Analysts,18,105569,5,4,5,No
363,43,Female,Accountant ,10,118217,4,1,4,No
364,50,Male,Business Intelligence Analyst,12,37637,5,3,4,No
365,24,Male,Business Analyst,15,41706,5,1,5,No
366,33,Male,Project Manager,15,113827,4,5,2,No
367,47,Male,Network Engineer,27,57635,2,2,1,No
368,37,Female,Customer Support Specialist,10,48890,2,1,5,No
369,58,Female,Operations Manager,27,82901,1,3,2,Yes
370,43,Female,Product Manager,13,85855,5,5,3,No
371,50,Male,Operations Manager,18,78970,2,3,5,No
372,35,Male,Operations Manager,16,113507,5,3,1,No
373,49,Male,Operations Manager,2,89046,1,5,2,No
374,26,Male,Project Manager,7,74636,5,5,5,No
375,51,Female,UX/UI Designer,10,104570,5,2,2,No
376,26,Female,Software Engineer,6,48530,3,2,2,No
377,33,Male,Software Developer,27,105789,4,2,4,No
378,37,Male,Data Scientist,13,53479,5,1,2,No
379,47,Male,Operations Manager,12,59030,2,5,5,Yes
380,47,Female,Business Intelligence Analyst,12,46230,5,3,3,No
381,42,Male,Data Engineer,14,117102,3,1,2,No
382,57,Male,Operations Manager,11,112532,4,1,1,Yes
383,54,Female,Compliance Analysts,1,58037,5,1,1,No
384,51,Female,Project Manager,10,30040,1,1,3,No
385,58,Male,Software Developer,14,117720,5,5,5,No
386,44,Male,Data Engineer,18,86186,4,4,1,No
387,31,Female,UX/UI Designer,21,83459,4,2,5,No
388,26,Male,Financial Analyst,11,68935,1,3,4,No
389,57,Female,Software Developer,18,89790,4,1,5,No
390,55,Male,Quality Assurance Engineer,10,36284,2,3,1,No
391,52,Female,Product Manager,19,81534,3,2,5,No
392,31,Female,Network Engineer,17,50579,4,3,5,No
393,40,Female,HR Specialist,29,30736,3,3,5,Yes
394,53,Male,Sales Manager,27,47577,1,3,2,Yes
395,22,Male,Network Engineer,2,49218,4,2,4,No
396,26,Male,Software Engineer,2,50663,3,1,1,No
397,25,Female,HR Specialist,1,37956,1,5,5,No
398,37,Male,Quality Assurance Engineer,25,88617,5,5,1,No
399,45,Male,Software Engineer,24,73595,4,1,5,No
400,37,Male,Compliance Analysts,6,33126,5,3,3,No
401,23,Female,Compliance Analysts,23,63415,2,3,1,No
402,49,Female,Data Engineer,13,95550,4,2,1,No
403,53,Female,Software Engineer,9,31952,3,3,2,No
404,48,Male,Compliance Analysts,11,91797,1,4,4,No
405,41,Female,Data Engineer,1,66813,3,5,1,No
406,45,Male,Operations Manager,6,79762,4,2,4,No
407,33,Female,Quality Assurance Engineer,21,45719,2,4,5,No
408,56,Male,Project Manager,4,93708,1,2,2,No
409,54,Male,HR Specialist,28,41650,4,1,4,No
410,54,Male,Customer Support Specialist,17,82868,2,4,5,No
411,58,Male,Customer Support Specialist,22,40126,3,2,3,No
412,33,Male,Project Manager,27,78355,1,3,1,No
413,24,Male,Compliance Analysts,8,69966,5,2,3,No
414,22,Male,Accountant ,14,90998,5,2,5,No
415,54,Male,Data Scientist,25,107304,3,3,1,No
416,31,Male,UX/UI Designer,8,59548,3,4,4,No
417,50,Female,Accountant ,18,84186,1,5,3,No
418,34,Female,Data Engineer,14,79358,1,3,4,No
419,33,Female,Network Engineer,1,42469,5,4,5,No
420,52,Male,Accountant ,14,48120,4,4,4,No
421,23,Female,Software Developer,22,84399,5,4,1,No
422,56,Female,Business Analyst,23,98744,2,3,2,No
423,44,Male,Compliance Analysts,29,83963,1,3,2,No
424,38,Male,Software Engineer,16,93089,2,5,4,No
425,47,Male,Business Analyst,15,106956,3,3,4,No
426,29,Male,Product Manager,8,94686,2,1,5,No
427,50,Female,Business Intelligence Analyst,10,108097,3,5,4,No
428,47,Male,Financial Analyst,5,34990,5,3,1,Yes
429,31,Male,Quality Assurance Engineer,5,88075,3,4,3,No
430,47,Male,Customer Support Specialist,18,67461,4,4,4,No
431,55,Male,Operations Manager,5,103874,5,5,5,No
432,28,Female,Data Scientist,25,66674,1,1,5,No
433,25,Male,Software Engineer,6,33983,3,2,5,No
434,32,Male,Network Engineer,20,49273,1,3,4,No
435,50,Male,Business Analyst,25,113372,3,2,5,No
436,57,Male,Business Intelligence Analyst,17,51017,2,2,3,No
437,46,Female,Data Scientist,12,83155,1,2,5,No
438,42,Female,Software Engineer,13,40007,4,3,3,No
439,57,Male,Product Manager,17,106754,4,1,2,No
440,31,Male,Software Developer,23,97360,3,2,1,No
441,58,Male,Accountant ,11,90350,5,4,3,No
442,30,Male,UX/UI Designer,14,33978,5,2,2,No
443,45,Male,Network Engineer,22,110389,5,3,5,No
444,56,Male,Project Manager,8,98586,5,3,1,No
445,56,Female,Customer Support Specialist,20,51415,3,5,3,No
446,57,Male,Business Intelligence Analyst,13,90485,5,4,3,No
447,39,Female,Product Manager,20,99842,3,3,2,No
448,53,Male,Software Developer,29,107599,1,2,5,No
449,45,Male,Software Engineer,28,43249,3,2,3,No
450,44,Male,Sales Manager,26,68858,2,3,4,No
451,53,Male,Business Intelligence Analyst,7,55356,2,3,2,Yes
452,58,Male,Software Developer,28,60121,5,4,3,No
453,33,Female,Data Scientist,20,110899,4,5,3,No
454,34,Male,Business Analyst,11,92552,2,3,3,No
455,44,Male,Product Manager,4,112260,1,5,5,No
456,46,Female,Business Intelligence Analyst,1,59261,4,1,5,No
457,56,Male,Accountant ,14,49909,5,2,3,No
458,51,Male,Accountant ,6,30446,4,5,4,No
459,38,Female,Business Intelligence Analyst,5,99531,5,1,4,No
460,41,Male,Accountant ,19,84055,1,4,3,No
461,46,Male,Project Manager,26,34172,4,4,3,No
462,43,Male,Operations Manager,27,91139,3,1,2,No
463,34,Male,HR Specialist,22,96734,3,5,3,No
464,40,Male,Compliance Analysts,9,35856,1,1,5,No
465,57,Female,Software Engineer,15,87572,5,4,3,No
466,33,Male,Data Scientist,29,95620,5,2,2,No
467,40,Male,Project Manager,3,72011,5,5,2,No
468,33,Male,Operations Manager,5,37158,2,3,2,No
469,30,Female,Business Intelligence Analyst,20,55475,4,1,4,No
470,28,Female,Business Analyst,18,51590,2,2,3,No
471,49,Male,Software Developer,2,112066,1,2,4,No
472,35,Female,Compliance Analysts,19,91904,5,4,4,No
473,52,Male,Product Manager,11,104199,2,2,2,No
474,40,Male,Software Engineer,17,119703,1,2,4,No
475,37,Female,HR Specialist,25,47275,5,2,5,No
476,26,Male,Network Engineer,18,72525,1,5,5,No
477,56,Female,Accountant ,13,74621,3,1,2,No
478,33,Male,Operations Manager,19,101288,3,5,5,No
479,46,Female,Sales Manager,3,53593,2,1,1,No
480,42,Male,Data Scientist,23,68793,5,2,4,No
481,57,Female,HR Specialist,28,109231,2,3,5,No
482,44,Male,Business Analyst,15,119542,3,4,1,No
483,37,Male,HR Specialist,21,105070,2,4,4,Yes
484,35,Male,Data Scientist,3,54428,2,5,4,No
485,52,Female,Accountant ,3,72447,1,3,5,No
486,26,Male,Data Engineer,6,74430,2,1,5,No
487,56,Male,Software Developer,16,117442,1,2,3,No
488,44,Female,Business Analyst,13,55818,5,4,3,No
489,50,Male,Software Developer,15,119386,3,5,2,Yes
490,32,Male,Marketing Analyst,11,93041,2,3,4,No
491,39,Female,Business Intelligence Analyst,5,83970,4,4,5,No
492,33,Male,Sales Manager,9,46362,4,2,1,No
493,30,Female,Financial Analyst,29,59043,4,3,2,No
494,31,Male,Product Manager,20,30358,3,3,2,No
495,38,Male,Project Manager,10,58563,3,3,4,No
496,59,Male,Data Scientist,29,95539,3,1,1,No
497,28,Female,Software Developer,12,91401,1,1,4,No
498,34,Female,Product Manager,28,118007,1,3,4,No
